,category,word
0,fish,carp
1,fish,catfish
2,fish,cod
3,fish,dolphin
4,fish,goldfish
5,fish,herring
6,fish,mackerel
7,fish,salmon
8,fish,trout
9,fish,tuna
10,fish,whale
11,fish,
12,bird,crow
13,bird,dove
14,bird,eagle
15,bird,falcon
16,bird,goose
17,bird,hawk
18,bird,owl
19,bird,penguin
20,bird,pheasant
21,bird,pigeon
22,bird,robin
23,bird,sparrow
24,bird,swan
25,bird,vulture
26,bird,woodpecker
27,bird,
28,mammal,bear
29,mammal,beaver
30,mammal,bull
31,mammal,cat
32,mammal,cow
33,mammal,coyote
34,mammal,deer
35,mammal,donkey
36,mammal,elephant
37,mammal,fox
38,mammal,giraffe
39,mammal,goat
40,mammal,gorilla
41,mammal,horse
42,mammal,lion
43,mammal,pig
44,mammal,rabbit
45,mammal,rat
46,mammal,sheep
47,mammal,squirrel
48,mammal,tiger
49,mammal,
50,vegetable,beet
51,vegetable,broccoli
52,vegetable,cabbage
53,vegetable,carrot
54,vegetable,cauliflower
55,vegetable,celery
56,vegetable,corn
57,vegetable,cucumber
58,vegetable,garlic
59,vegetable,lettuce
60,vegetable,onion
61,vegetable,parsley
62,vegetable,potato
63,vegetable,radish
64,vegetable,spinach
65,vegetable,turnip
66,vegetable,
67,appliance,dishwasher
68,appliance,freezer
69,appliance,fridge
70,appliance,oven
71,appliance,phone
72,appliance,radio
73,appliance,stereo
74,appliance,stove
75,appliance,television
76,appliance,toaster
77,appliance,washer
78,appliance,
79,tool,axe
80,tool,chisel
81,tool,corkscrew
82,tool,fork
83,tool,hammer
84,tool,hatchet
85,tool,knife
86,tool,rake
87,tool,saw
88,tool,screwdriver
89,tool,shovel
90,tool,sieve
91,tool,spade
92,tool,spoon
93,tool,wrench
94,tool,
95,container,bag
96,container,bottle
97,container,bowl
98,container,box
99,container,jar
100,container,mug
101,container,
102,fruit,apple
103,fruit,apricot
104,fruit,banana
105,fruit,cherry
106,fruit,coconut
107,fruit,cranberry
108,fruit,grapefruit
109,fruit,grape
110,fruit,lemon
111,fruit,lime
112,fruit,peach
113,fruit,pear
114,fruit,pineapple
115,fruit,plum
116,fruit,strawberry
117,fruit,
118,clothes,blouse
119,clothes,cloak
120,clothes,coat
121,clothes,dress
122,clothes,glove
123,clothes,hat
124,clothes,jacket
125,clothes,robe
126,clothes,scarf
127,clothes,shirt
128,clothes,sweater
129,clothes,vest
130,clothes,
131,vehicle,ambulance
132,vehicle,battleship
133,vehicle,bomber
134,vehicle,bus
135,vehicle,car
136,vehicle,ferry
137,vehicle,fighter
138,vehicle,frigate
139,vehicle,glider
140,vehicle,helicopter
141,vehicle,jet
142,vehicle,motorcycle
143,vehicle,scooter
144,vehicle,tanker
145,vehicle,train
146,vehicle,truck
147,vehicle,van
148,vehicle,yacht
149,vehicle,
150,music,cello
151,music,clarinet
152,music,flute
153,music,guitar
154,music,piano
155,music,saxophone
156,music,trumpet
157,music,violin
158,music,
159,furniture,bed
160,furniture,bookcase
161,furniture,chair
162,furniture,couch
163,furniture,desk
164,furniture,dresser
165,furniture,sofa
166,furniture,table
167,furniture,wardrobe
168,furniture,
169,building,castle
170,building,cathedral
171,building,cottage
172,building,hospital
173,building,hotel
174,building,library
175,building,pub
176,building,restaurant
177,building,villa
178,building,
179,weapon,bomb
180,weapon,cannon
181,weapon,dagger
182,weapon,grenade
183,weapon,gun
184,weapon,missile
185,weapon,musket
186,weapon,pistol
187,weapon,revolver
188,weapon,rifle
189,weapon,spear
190,weapon,sword
191,weapon,
192,reptile,alligator
193,reptile,frog
194,reptile,lizard
195,reptile,snake
196,reptile,turtle
197,reptile,
198,insect,ant
199,insect,beetle
200,insect,butterfly
201,insect,cockroach
202,insect,grasshopper
203,insect,hornet
204,insect,moth
205,insect,wasp
206,insect,
207,tree,acacia
208,tree,birch
209,tree,cedar
210,tree,cypress
211,tree,elm
212,tree,oak
213,tree,pine
214,tree,poplar
215,tree,willow
216,tree,
