token_hi,token_en
पूनिया,Poonia  
यूएचएफ,UHF  
स्वशिक्षा,self-education  
ढेले,lumps  
नियो,Nio  
ऑर्गनाइज़ेशन,organization  
आवृत्तियां,frequencies  
जगतगुरु,Jagatguru  
पेट्रोनास,Petronas  
कीलकों,spikes  
आस्तियों,assets  
बतलाने,telling  
नागेशं,Nagesh  
मीथेन,methane  
शास्रों,texts  
मोक,Mok  
जबा,Jaba  
कुतुबपुर,Qutubpur  
अमलापुरम,Amalapuram  
झिलमिल,glitter  
जोबनेर,Jobner  
दुराई,Durai  
मिनिवेट,minivet  
एंड्रोइड्स,androids  
वृत्तान्त,account  
मीड़,MeeD  
फलन,function  
बॉन्डिंग,bonding  
मर्चेन्ट्स,merchants  
गुलागों,gulags  
नॉर्थम्प्टन,Northampton  
आर्यिका,Aryika  
राजसात्करण,confiscation  
सिमुक,Simuka  
३४४,344  
जीज़स,Jesus  
विण्डोज़,Windows  
सेंग,Seng  
खिड़कियाँ,windows  
मोज़ार्ट,Mozart  
स्वाइप,swipe  
मेरा,mera  
सहसम्बन्धित,correlated  
बाॅयड,Boyd  
मुन्दोली,Mundoli  
परागण,pollination  
परवडा,Parvada  
पुनर्देशित,redirected  
आयीं,came  
३७८,378  
हरीसिंह,HariSingh  
रसातल,abyss  
परिस्थतियों,circumstances  
फेंटम,phantom  
वैगनीयर,Wagnerian  
नोरोवायरस,Norovirus  
सुलगती,smoldering  
चक्रवृद्धि,compound  
ओल्मेक,Olmec  
अवकारक,reducing  
इवा,Eva  
सप्तपर्णा,Saptaparna  
नेटल,nettle  
मेषादि,Mesadi  
व्युत्पति,etymology  
डिनर,dinner  
संकटों,crises  
शरीररचना,anatomy  
सिलिया,cilia  
अवार्ड्स,awards  
दैवज्ञ,astrologer  
अल्फा,Alpha  
क्यूबिस्ट,Cubist  
ओलिम्पिया,Olympia  
रोमकूपों,pores  
बैरेटा,Baretta  
पप्पू,Pappu  
कैपेला,Capella  
आंतरिक,internal  
मुख़्तलिफ़,different  
पोलाक,Pollack  
चैम्पियंस,champions  
बंकरों,bunkers  
रास्टर,raster  
जिमनेजियम,gymnasium  
हाव,gesture  
गमागमन,commute  
फ्रीडरिक,Friedrich  
क्रस्टेशिया,crustacean  
आयु,age  
पुते,Putte  
लोकप्रचलित,vernacular  
सुन्द,Sund  
सकपाल,Sakpal  
मॉड्युल,module  
रोनल्ड,Ronald  
खेरी,Kheri  
दुनियाभर,worldwide  
बड़ागाँव,Badagav  
प्रेस्बिटेरियन,Presbyterian  
यातनाएँ,tortures  
विशेषीकरण,specialization  
स्पाईक,spike  
प्रसृत,spread  
बसत,Basat  
बार्नस्टार,Barnstar  
नातान,Natan  
नंदवंश,Nandavansh  
कोतालं,Kotalam  
सोफे,sofas  
हैंगिंग,hanging  
हॉलीवूड,Hollywood  
प्रवेशन,admission  
कॉर्नेल,Cornell  
अनुखंडित,fragmented  
नायडू,Naidu  
मह्त्वपूर्ण,important  
boosters,boosters  
कुरंगी,Kurangi  
संधि,treaty  
गैंगस्टर्स,gangsters  
अलो,Alo  
ह्विग,Whig  
मिकेल,Mikel  
गोपीकृष्ण,Gopikrishna  
धिक्कारते,cursing  
मैकआर्थर,MacArthur  
आरी,saw  
स्कीइंग,skiing  
११०००,11000  
शेरनी,tigress  
मैनहुड,manhood  
वृत्तों,circles  
ब्रह्मचारिणी,Brahmacharini  
अभावग्रस्त,deprived  
ट्रेनें,trains  
औस्ट्रेलिया,Australia
सूचनाऐं,information  
स्काइथियन,Scythian  
फराओ,Pharaoh  
सैपर्स,sappers  
खोर,ravine  
दूनास,Dunas  
सवृंत,complete  
हितैषिणी,benefactor  
पायोनियर,pioneer  
मिस्र,Egypt  
गुर्टु,Gurtu  
घरानों,lineages  
कर्मकांड,ritual  
उपजीव्य,derivative  
फाइट,fight  
जालों,webs  
सईदना,Syedna  
सोज़,melody  
आंदोलन,movement  
स्फुरण,vibration  
पिनाकी,Pinaki  
शस्रों,weapons  
हल्का,light  
भूमिकायें,roles  
दिग्दर्शन,guidance  
कपालकुंडला,Kapalkundala  
भोगवाद,hedonism  
हरिगीता,Harigita  
टेय,Tey  
कोर्न,Korn  
लं,Lan  
अर्गोनाउटस,Argonauts  
डवे,Dave  
बाइकुला,Byculla  
आणविक,atomic  
किल्वी,Kilvi  
गणनाएँ,calculations  
डाइएलेक्ट्रिक,dielectric  
फाटक,gateway  
शियावोन,Shiavon  
वण्डरलैण्ड,Wonderland  
बीयरिंग,bearing  
तोशिबा,Toshiba  
मिनियापोलिस,Minneapolis  
रैडिसन,Radisson  
पीसा,Pisa  
८३८,838  
स्वीटनर,sweetener  
इमान,faith  
लेकर,taking  
सलवार,Salwar  
इलेक्ट्रो,electro  
तलाशती,searching  
भोजवृत्ति,scholarship  
सिस्प्लैटिन,cisplatin  
दशांश,decimal  
खिसकती,slipping  
प्रस्थापित,established  
रीतिकाल,Ritikala  
वरलक्ष्मी,Varalakshmi  
फ्री,free  
इटहरा,Ithara  
फ्यूचर्स,futures  
मोड़न,modern  
बाधाएँ,obstacles  
दागों,stains  
ओआहू,Oahu  
बलिदान,sacrifice  
वर्द्धित,increased  
२९७५,2975  
अमेज़ोनास,Amazonas  
विभाजन,division  
स्पेनवासियों,Spaniards  
सलाहकारी,advisory  
डाइसल्फाइड,disulfide  
गुंग,Gung  
सीरमी,Seerami  
विद्युतचुम्बक,electromagnet  
चार्ट्रेस,Chartres  
समकालीनता,contemporaneity  
बिगनिंग,beginning  
बिजनेस,business  
परवल,pointed  
निष्क्रीय,passive  
ध्यानस्थ,meditative  
बरो,Boro  
जैसल,Jaisal  
वॉल्यूम्स,volumes  
संवेदनाएं,sensations  
तस्मानियाई,Tasmanian  
बताइये,tell  
मूल्याङ्कन,evaluation  
